id,image1Text,image2Text,image3Text
ga780914,CRINKLE RUSTLE CRINKLE,,"Garfield, get out of the trash."
ga780915,Darn bugs. buzzzzz,SWAT! SPLAT!,"Thanks, I needed that."
ga780916,Cats make better pets. But you need a dog for protection.,,I hate to see a grown man cry.
ga780920,I hate summer.,"The unbearable heat, sticky car seats, hay fever season and scorched lawns...",Not to mention curdled kitty munchies.
ga780922,,,Sunburned tummy.
ga780923,"Oh boy, at last. College football season.",I would have played college football had it not been for my beliefs...,I don't believe in bleeding on saturday! How would you like to be unnecessarily roughed?
ga780926,All dogs should be banned from our country...,"They are noisy, silly, sloppy, rude...",And they're rusting our nation's fire hydrants.
ga780928,bbbbb,BARK!,I'd hate to see that sucker's bite!
ga780929,Garfield,BARK!,"If god had intended for dogs to bark, he would have given them roots and leaves."
ga780930,BIFF!,BOP!,"SMACK! POKE! Garfield, one. Odie, one."
ga781002,BOING!,rrrr,I hate mondays.
ga781003,I wonder if I should pick up anything for Garfield from the pet store. How about a scratching post?,Good idea. I'll get him one.,Bless you!
ga781005,YAWN,That floor sure looks cold this morning.,Better not risk it.
ga781006,I'm not getting out of the bed if the floor is cold.,It's freezing!,Good.
ga781007,zzzzz,BARK!,Now that I'm up...I might as well have breakfast.
ga781010,,,Ever thought of walking AROUND the furniture?
ga781011,,Oh well...I guess a cat is entitled to let down on his defenses once in his life.,
ga781012,water water water,pat pat pat,What's the use?
ga781013,Garfield! I'm back from the store.,We're having a cookout tonight. I got steak and corn and...,And you just ate the briquettes.
ga781014,,,Cats are nice to have when you're feeling lonely.
ga781016,,,I think I'll have Garfield declawed.
ga781017,"Garfield, I'm going to have you declawed.",TAKE AN ARM! TAKE A LEG! BUT SPARE MY CLAWS.,You're going to be declawed and that's it. Now get your head out of the oven!
ga781018,I couldn't face life as a declawed person. So I'll just stick my head in this oven and end it all.,,Stupid electric stove.
ga781019,Jon's gonna have me declawed.,What a frightening thought...,Going through life unarmed.
ga781020,I took Garfield to the vet to be declawed.,They're removing his stitches next thursday.,Poor Garfield. Who's talking about Garfield?
ga781021,"I'm sorry I tried to have you declawed, Garfield.","I love you just the way you are, claws and all.","someday, somehow, when you're least expecting it, I'm going to shred your bedroom suite."
ga781024,,,I didn't see that. I didn't see that. I didn't see that. I didn't see that.
ga781025,,"GET AWAY FROM MY FOOD, BEAR!",I just yelled at a teddy bear.
ga781026,"Ho, Garfield. I will not kiss your teddy bear good night.",,SMACK
ga781027,Ahhh...nothing like a hot bath after a chilly day.,,"GARFIELD! Wanna warm up, Pooky?"
ga781028,"Oh, boy! My bachelor magazine.",I wonder who the centerfold is: Elke? Farrah?,"Almira, the amazon?"
ga781030,"Ah, here comes the mailman.",DRAT!,
ga781031,BARK!,ODIE! CUT THAT OUT!,"Stick with me, kid. We'll go places."
ga781101,I hate november.,"Lifeless trees, bleak afternoons, raw winds...",Icy sandboxes.
ga781102,KABOING! KABOING! KABOING!,KABOING! KABOING! KABOING! KABOING!,Food's fun!
ga781104,,ZIP!,That hurt me more than it did him.
ga781106,Some people have anxiety attacks. Some people have gas attacks.,I have nap attacks.,ZZZZZ
ga781107,NAP ATTACK!,FUMP!,"I've heard of catnaps, but this is ridiculous. zzzz"
ga781108,NAP ATTACK!,CRASH!,Whoever thought a nap attack could hurt?
ga781109,My tuna pate could use some salt.,Oops! Here comes another nap attack.,There you have it. Garfield's passion for food is only exceeded by his passion for sleep. zzzzzzzz
ga781110,"Gee, I'd love to stay in bed all day, but I gotta eat sometime.",BUZZ SAW SAW SCRATCH SCRATCH CUT CUT BZZZ,
ga781111,Ohooh. I feel a nap attack coming on.,,Turtles have got it knocked.
ga781113,ZZZZZ SNORT! ZZZZ,MMMPH!,ARRRRRRRGH! Sleeping people are fun.
ga781114,I love lasagna! So do I.,GOBBLE! GOBBLE! GOBBLE! GOBBLE!,I love cats...I wanted a cat...so what do I do? I go to the pet store and ask for a cat. What do they give me? ...a lasagna with fur and fangs.
ga781115,Cats need a balanced diet.,"Meat, eggs, fruit, bread, vegetables...",And an occasional boston fern for dessert.
ga781116,Oh no! Jon got a rocking chair!,"As long as there is one rocking chair left in the world, no cat's tail is safe.",MY ROCKING CHAIR! Your kindling.
ga781117,"Let's see...the piano, book shelves, bench, floor...","Nope, I think I'll go with the chest, chair, hassock, floor.",
ga781118,"Hmmm...one canister is doggie biscuits and the other is kitty munchies, but I forget which is which.",WHAM!,
ga781120,"Ahhh, six A.M.",This is my favorite time of day.,For sleep.
ga781121,,,"GARFIELD! He sure wakes up in a bad mood, doesn't he?"
ga781122,I love scrambled eggs.,Especially on chilly mornings...,When my feet get cold.
ga781123,I'm basically your neat cat.,CRASH!,I like to keep my windowsill tidy.
ga781124,We cats are loners.,With one possible exception...,We can be very social when it comes to food.
ga781125,"Okay, Garfield, just one bite of lasagna and that's it.",,It's amazing how much that cat can store in his cheeks.
ga781127,"Oh, doe! sniff",I thig I hab a code. sniff,Loog...eben my thoughts are stuffed ub.
ga781128,sniff hack cough wheeze,,sniff hack cough wheeze
ga781129,hack sniff wheeze sniff,GOBBLE! GOBBLE! GOBBLE! GOBBLE!,"Or is it: STARVE a cold, FEED a fever?"
ga781202,I thig Garfield gabe me a code. sniff He what?,He gabe me a code! Pardon?,GABE ME A CODE! GABE ME A CODE!
ga781204,Do you know your cat's sitting on my meat loaf?,"No, but if you hum a couple of bars I'll fake it.",This is going to be a long week.
ga781205,"See you later, Garfield. I'm going to the grocery store.",,"Very well, you may come along."
ga781206,"Now, behave yourself in the grocery store, Garfield.",,I think I just turned a bull loose in a china shop.
ga781207,"That's the last time I take you to the grocery store, Garfield.",I've never been so humiliated in all my life.,"So I ate the pastry section, big deal."
ga781208,,Darn,That was too easy.
ga781209,When Odie comes by I'm going to round off that pointy head of his.,SLURP!,How can you win against someone who doesn't even know the rules of the game?
ga781211,Things To Do: 1. wash car 2. do laundry,,3. and brush Garfield
ga781213,"I'm going to brush all your loose hair out, Garfield.",,I suspected as much.
ga781214,sweep sweep sweep sweep sweep,"Garfield, what am I supposed to do with all these cat hairs?! Make yourself another cat.",I have the distinct feeling that I was just zinged.
ga781215,"SMACK! Good night, Garfield.",POOEY!,Growing a beard? I ate a milk dud and kissed a cat.
ga781216,"Dear Garfield, Help! I have cat hairs all over my home. What can I do to keep Fluffy from shedding?",Simple.,Give the little beggar a good coat of varnish.
ga781217,"cats gotta claw, but do it outside, okay? Garfield?",,GARFIELD
ga781218,zzzzzz,YAWN!,What a heck of a way to wake up.
ga781220,JON! COME QUICK!,Look! Garfield is actually playing with Odie! I know. It's cause I sprayed Odie with something.,With what? Essence of lasagna.
ga781221,"You know, maybe there's more to life than just eating and sleeping...maybe I should be more considerate of other people's feelings, nicer to Odie and more generous.",,Nah.
ga781222,"Scratching posts, Balls of yarn and rubber mousies are okay.",But when it comes to REALLY NEAT playthings...,Give me a Christmas tree!
ga781223,"What would you like for Christmas, Garfield? 100 slave dogs.","I'll bet you'd like a nice, fluffy ball of yarn to play with.",I think I'll put a piranha in his Christmas stocking.
ga781225,This is my very first Christmas.,I hope you have a loved one to spend today with because I do.,It's you. Merry Christmas.
ga781226,"Okay, Garfield. Go fetch!",*,
ga781227,"Time to get up, Garfield. zzzz",GRRRRR,Now what do I do? zzzz
ga781228,,PUSH,CLONK! I'm not known for my compassion.
ga781229,I love Fridays.,"The end of a long work week, the beginning of a weekend filled with relaxation, TV sports and parties.",Almost makes me wish I had a job.
ga781230,This year I resolve to be nicer to dogs.,,Maybe I'll cut down on lasagna instead.
ga790101,POW!,,
ga790102,"What would you like for breakfast, Garfield? A cup of coffee, a danish and the newspaper.",Have a warm bowl of milk.,You people don't give us cats any credit!
ga790103,Do you know why I don't like warm milk?,Try this...drink a bowl of warm milk.,"Then, never brush your teeth again."
ga790104,Why is it all us cats are stereotyped?,"""All cats love milk, hate dogs, love mice"" etc., etc., etc.",Sometimes I get so mad I could just kick my Gucci scaring post.
ga790105,"Do you know why you need me, Garfield?",I can sum it up in two words.,Quality companionship. Body heat.
ga790106,We cats are very independent.,"We need nobody, no time no where, no way.","Isn't that right, Pooky?"
ga790108,"Look what my mother made for you, Garfield.","There, how's that? It's nice and warm.","Disgusting, demeaning, itchy and abomination. But, nice and warm."
ga790109,Would you just look at this? Jon's making me wear a kitty sweater.,"People dress their pets up because it makes them look like little people. Well, I'm NOT a little person, I'm a CAT.","For instance, I like a pinch of catnip in my morning"
ga790111,I was feeling pretty punk about having to wear a sweater...,Until I saw Odie's new outfit.,
ga790113,snicker snicker,HARF! HARF! HARF!,
ga790115,,"Garfield, you shouldn't chase the mailman like that.",Now what would you do with him if you actually caught him? I'd eat him.
ga790116,"Garfield, you know cats can't drink...",SLURP! ...coffee.,"Fill 'er up! Well, I'll be dipped."
ga790117,,,It's amazing how we've grown to understand each other.
ga790118,"Look, Garfield. A mouse!",EEEK!,
ga790119,"Bachelorhood is okay, I guess.",But you just can't beat...,someone waiting for you when you get home.
ga790120,BARK! BARK!,ROWR! YAP! FFFT!,And they say pets are therapeutic.
ga790122,"Garfield, you sleep to much, you eat too much, and you watch too much television.","What does Jon expect of me, anyway?",I'm only human.
ga790123,Television can be habit forming.,I've been watching it all day.,"Would you like me to turn the TV on, Garfield? That would be nice."
ga790125,BANG! BANG! EEEK!,SMACK!,"Okay, okay. I'll change the channel. I don't like violence."
ga790126,I hate television.,"There are too many commercials, reruns and game shows.",The eight hours I watched yesterday was terrible.
ga790127,Television is only so much mindless drivel...,"Glossy adventures, sex and violence.",Ain't it great?
ga790130,"Brenda, meet Garfield. Hi, Garfield.",Is Garfield a pig? He's a cat.,"Oh, that REALLY hurts."
ga790201,"If you take one bite of my pie, Garfield, I'll smack your fat little paws.",,"If I can't have it, neither can he."
ga790202,I'll bet you can't wait to see what kind of cat food you're having for dinner. I'll bet I can.,Here it comes... You can cut the tension with a knife.,"LIVER! Oh, hooray, hop about, clap paws, squeal with glee."
ga790203,"Now I wouldn't say you're fat, Garfield...","But when you sit around the sofa, you SIT AROUND the sofa.","KICK! Heads, he lives. Tails, he dies."
ga790205,I think I'll do some jogging.,"Okay...GO, FEET!","Hmmm, reckon the little suckers just weren't in the mood."
ga790206,"Garfield, I'd appreciate it if you wouldn't read over my shoulder",,READ over my shoulder?
ga790207,"Stay away from my chicken leg, Garfield. Aw, stuff it in your ear. mrow fft!",WHAT WAS THAT?!,Oh.
ga790208,Gee...I wonder which shirt goes better with my slacks.,"Lyman, could you give me your opinion on something? Sure.",What can I do for you? Forget it. Beau Brummell lives.
ga790209,,,He's trying to tell me to turn the heat up.
ga790210,"Guess what, Garfield? Somewhere on me is a kittie munchie for you.",,Maybe that wasn't such a good idea. munch munch munch
ga790212,I hate cold floors in the morning.,Nobody likes cold floors.,But we cats have to put twice as many feet on them.
ga790213,Pets are great to have on cold nights.,As long as you don't mind...,The crowded conditions.
ga790214,BARK! YIP! ROWR! FFFT!,GARFIELD! ODIE! Why don't you boys go outside to fight.,While I lie here and quietly bleed to death.
ga790215,* * *,GARFIELD! Get off the piano!,Talk about stifling one's creative talents.
ga790216,There's one nice thing about being a cat at the dinner table.,,Everything you touch is yours.
ga790219,"You say you want me to eat this hamburger, Pooky?",And this chicken? And this lasagna?,You gotta go a long way to find a teddy bear as good as old Pooky here.
ga790220,SMACK!,HEY YOU! Come back here and fight like a teddy bear!,What am I saying?
ga790221,"Be honest, Pooky. Do you think I'm getting a little pudgy around the middle?",,"Not a lot of personality, but he certainly knows when to keep his mouth shut."
ga790222,,,"A dancing bear? Next time, I get to lead."
ga790223,"Let's go for a walk, little fella.",SMACK!,"Well, I'll be. Pooky doesn't like dogs either."
ga790224,"Okay, who knocked my fern off the windowsill?!",,His lying to me isn't half so upsetting as the credit he's giving my intelligence.
ga790226,"Stand aside, cat. I know karate!",,And I know fast and furious.
ga790227,,,Some days I'm just not in the mood to be adored.
ga790228,Woould puppy tat wike a bowl of milk?,Would funny wooking man wike a milk bath?,Never be condescending to a cat.
ga790301,,GARFIELD! Did you eat my chicken?,"No, of course not. If you had, there would be some bones left."
ga790302,"Be careful around this clock, Garfield. It's an old family heirloom.",CRASH!,"One small push for a cat, one giant leap for good taste."
ga790305,zzzz YAWN,zzzzz,What a heck of a way to start the week.
ga790306,The darn toaster isn't working again. I guess I'll have to fix it.,WHAM! WHAM! WHAM! WHAM! WHAM!,"First, you have to get its attention."
ga790307,"Breakfast is on, Garfield.",Carry me.,Sometimes I think I cater to Garfield too much.
ga790308,,"That's called disco dancing, Garfield. Thank heavens.",For a minute there I thought he had a life carp in his jockey shorts.
ga790310,,,Just when you think you've seen your cat do it all...
ga790312,,SWISH!,The mouth is quicker than the hand.
ga790313,,KNOCK! KNOCK! KNOCK!,Nobody home.
ga790314,,I suppose I should learn to like Odie.,But I just can't respect anyone who turns around three times to lie down.
ga790315,,Hmmm,"Just as I suspected. There's a tiny sign in there saying, ""Space For Rent""."
ga790316,BARK! BARK! BARK!,That's good enough. SCREEE POOMP!,Thanks for the exercise. PUNT!
ga790318,know.,If nobody had to steal. I people laughed more. If everyone fed their cats all the lasagna they could eat. If we all took more pride in our homes and our neighborhoods.,If we respected our senior citizens more. If there were no
ga790319,"I'm going to teach you to do some tricks this week, Garfield. Over my dead body.","Sing for me, Garfield. MROWR!",VERY GOOD! There was a bone in my tuna pate.
ga790320,"Garfield, go fetch my pipe, paper and slippers. Yes, sir. Right away, sir...",Where IS he?,"GARFIELD! Okay, okay. As soon as I'm done with the financial section."
ga790321,"Roll over, Garfield. You gotta be kidding.","If you roll over, I'll give you a double helping of lasagna.",WHIRRRRRR!
ga790323,"Sit up and beg for the kitty munchy, Garfield.",Tell you what. You give me the munchy and I'll let you keep your face.,I knew that we could arrive at a mutually acceptable compromise.
ga790324,"Dance for me, Garfield. Not a chance.","If you won't, I'm sure Odie would be happy to.",You have to know what motivates a cat. This is demeaning.
ga790327,The caped avenger sees food!,"In order to fight evil, the caped avenger needs food for strength.",Lots and LOTS of strength!
ga790328,AHA! The caped avenger sees injustice. BONK!,,"Beat it, brute. BOOT!"
ga790329,"The caped avenger sees a large evil person he must destroy in the name of good, because the caped avenger isn't a chicken.",,"The caped avenger isn't stupid, either."
ga790331,The caped avenger will now step outside to fight evil.,,The caped avenger will now step inside and announce his retirement.
ga790402,"Did you know most cats shed their winter coats in warm weather, Garfield?",FUMP!,Hmmm mus' be spring.
ga790403,Spring is here.,The warm spring sun is coaxing trees to bud and flowers to bloom. Fledging songbirds are testing their lilting voices. Soft spring zephyrs are wafting the sweet scent of lilacs. Spring is here.,"Big, fat hairy deal."
ga790404,There's nothing like a little spring weather to make one feel lazy.,I'd better be careful.,"If I were lazier, I could slip into a coma."
ga790405,I like spring.,The grass is back from its dormancy. The flowers are back from a long winter's rest.,And the birds are back from Miami.
ga790409,"Move it, Garfield, I'm going to watch television.",,
ga790410,"Boy, am I in a bad mood. *Good Morning, Garfield*",POKE!,"If there's anything a depressed person hates, it's a cheerful person."
ga790411,Garfield's sure been in a nasty mood lately. We'll see about that. Do you know how to treat a mad cat?,,"With great, great respect."
ga790412,,ROWR! FFFT!,I think I hurt myself.
ga790414,"Easy, boys.","WE LOVE YOU, GARFIELD!",Darn. That was the best deep blue funk I ever had going.
ga790416,"Let's go check the mailbox, Garfield.",I love getting mail,It's just another reminder you're alive. That's a pretty heavy thought for a Monday.
ga790417,"How about some boiled cabbage for lunch, Garfield.",SWIPE!,Or maybe some coleslaw. Now you're talking.
ga790418,ARF! ARF! ARF!,,YIP! Sad.
ga790419,"'ATTA BOY, GARFIELD! squeak!",GO GET 'IM! squeak!,"Take five, little buddy. We'll make another pass in a few minutes. puff puff"
ga790420,hee he,HA! HA! HA! HA! Poor Lyman.,He wouldn't be laughing so hard if he knew Odie just drank out of the toilet.
ga790421,Hmmm,,
ga790423,,CRASH!,It's amazing the fun you can have with a hoop.
ga790424,"Gee, I'd almost forgotten how much fun it is to hang on the old screen door.",SLAM!,And I'd completely forgotten about the pain.
ga790425,Hmmm a whistle,,Must be broken.
ga790426,Claws are great.,They allow us cats to walk right up trees.,There's only one problem.
ga790427,,POP,"They don't call me ""Lightning Lips"" for nothing."
ga790428,"I just want you people to know how much we cats appreciate you. Without you, who would feed us? Who would love us?",And most important of all...,Who would change our kitty litter?
ga790430,"Boy, I', starved. I think I'll have sausage. hash browns and some eggs over easy.","Good morning, Garfield. Here's tuna and liver surprise!",The sausage and hash browns are delicious. But I do believe the eggs are a bit overdone.
ga790501,GASP! CHOKE! BRACK! COUGH! HACK!,FLOP!,"Can the melodramatics, Garfield, and finish your liver."
ga790502,BURP!,"That was rude and crude, Garfield. Cats are more sophisticated than to submit to belching at the dinner table.",BRAACK!
ga790503,"Tell me what you think of my new poem, Garfield.","""MY BUDDY"" I have a buddy. My buddy's a toad. He's kind of muddy, he's flat on the road. But, he is my buddy, my buddy to stay, 'til he's peeled up and sailed away.",Garfield?
ga790505,"Are you hungry, Odie?","Here, have some celery and tomatoes and radishes.",GARFIELD!
ga790507,"Hey, Lyman. Where's my bread knife?",SLASH!,Never mind.
ga790508,This is too good to be true.,BOING!,That WAS too good to be true.
ga790509,GOBBLE! GOBBLE!,With all respect to Will Rogers.,I never met a lasagna I didn't like.
ga790512,"Garfield, you're getting too fat.",I am NOT getting too fat.,"I'm just ready for the next size kitty bed, that's all."
ga790513,"Eat up, ol' buddy.",Hmmmm,"THIS CAT FOOD IS MADE OF: Dried whey, sodium caseinate, isolated soy protein, calcium carbonate, phosphoric acid, dicacium phosphate, corn glutein meal, wheat germ meal, brewer's dries yeast, iodized salt, ground"
ga790515,It was bound to happen. My stomach finally outgrew my legs.,"Worse things could happen, I guess.","Like this, for instance."
ga790516,"Well, you've finally done it, Garfield. Your belly's bigger than your legs. Now what are you going to do?",I'll show you what I'm going to do.,If you'll just roll me over to that lasagna there.
ga790517,"You're going to have to exercise that belly off, Garfield.",Tell you what. I'll get a leash and take you for a brisk morning drag.,"If he had a brain, I'd say he was trying to make a funny."
ga790518,*,,boing boing boing
ga790521,I think it's time we take Garfield and Odie out for something to do.,Why do you say that?,They're taking turns on the record player again.
ga790522,Cats can be very curious.,SPLOOCH!,Cats can also be very stupid.
ga790523,"Did I ever tell you about my uncle Harry? He was a famous mouser at a glass plant in Gas City, Indiana.",Legend has it that uncle Harry chased a mouse fight into tank #2,"Now he's a paperweight in Bayonne, New Jersey."
ga790524,GRAB!,BONK!,"Smooth, move, ol' buddy. have you no respect for the dead?"
ga790525,"Hello, Carolyn? Hey, now about taking in a movie tonight? Uh...oh sure, I understand.",She said she would love to have gone out with me tonight. click,But she had to stay home and pluck her eyebrows. Subtle.
ga790526,The darn lawn mower won't work. Let me try.,,"brrr! If I could package that look, I'd make a million."
ga790528,"Oh, goody. It's Monday morning. BRING!",I love Monday mornings. You know why?,Because *I* don't have to go to work.
ga790530,Z,Z smack smack,Oh my gosh! I slept through today's strip!
ga790531,There's only one drawback to spending a week in bed...,SNIFF!,This blanket is starting to develop a personality all its own.
ga790601,"Garfield, you've been in bed all week. Why, you could starve to death.",Oh.,I should have guessed as much.
ga790602,"Get out of bed this minute, Garfield.",,Good boy! Darn leg cramps.
ga790604,"Have a package of crackers, Garfield.",RUSTLE CRACKLE CRINKLE,They were terrible. Next time try taking them out of the wrapper.
ga790605,"Why the droopy demeanor today, Garfield?",KONK!,"Never say ""droop"" to a fat person."
ga790606,"Hey, Lyman. What do you think of my new tennis racket?",What's it strung with? Catgut.,Aunt Reba!
ga790607,That's the trouble with warm weather.,You can't keep ice cubes in your drink.,
ga790608,Touch my pie and you die.,touch,"ZOOM!!! ALWAYS RIDING THE RAGGED EDGE OF DISASTER, AREN'T YOU, GARFIELD?!"
ga790609,"Waitress, this potato is bad.",BAD POTATO! BAD POTATO! smack! smack! smack!,"Sir, if that potato gives you any more trouble, you just let me know. There goes her tip."
ga790610,"It's only noon, Garfield. Why don't you sleep in today, you deserve the rest.","Hey, Garfield! Let's have some fun! I'll hold Odie down and you beat him up.","How about some exercise, Garfield? Why don't you scratch up my favorite new chair"
ga790611,"Come on, Garfield. Let's go camping. Not in your life.","Gee, and I'd packed lots of lasagna, too.","Since you put it that way, I reckon there's a trail or two out there that could stand a little blazing."
ga790612,"Well, here we are in the great outdoors, Garfield.","Ah, wilderness.","Just us, the sky, and the trees. Where's the TV?"
ga790613,"Well, Garfield.",What do you think of camping so far? I don't know.,I've never been this far from the sandbox before.
ga790614,"Why the long face, Garfield?",Look who I brought. POOKY!,Camping is more fun with a good friend.
ga790615,,What's that?,Must be a porcupine.
ga790616,GARFIELD! You're covered with porcupine quills!,That must be very painful. I can handle it.,ARRRRRGH!
ga790618,"What would you like for your new birthday, Garfield? Another scratching post.",How about a nice rubber mousie?,Or maybe another scratching post. How'd you guess?
ga790619,"Happy first birthday, Garfield! Make a wish and blow out the candle.",FOOF!,Oh gee. That's too bad. Not really. I got my wish.
ga790620,Have a sausage.,,"One at a time, Garfield, one at a time."
ga790621,Here's to gluttony!,GULP!,Hello? Overeaters anonymous?
ga790622,"Hello, Valette? Hey, how about meeting me somewhere tonight, sweets?",You'll mee me when WHAT freezes over?,I can take a hint! Only if it's applied with a sledgehammer.
ga790626,The doctor will see your cat in a moment.,"Who's next, please?",I think I just died and went to heaven. I think I just died. I think I just died.
ga790627,"By the way there, doc, what's your name? Liz.","Gee, what a pretty name. Is that short for Elizabeth? No. It's short for Lizard.",Liz must not be much for small talk.
ga790628,"I guess we'll be seeing a lot of each other, doc. Garfield gets sick a lot. Don't you, Garfield?","Don't you, Garfield?",kachew kachew
ga790629,"Well, Mr. Arbuckle, your cat's basically in good health.","But you'll have to take better care of him. Listen to the doctor, Jon.","He's too fat. Close your ears, boy! The woman's some kind of a quack!"
ga790702,"You're too fat, Garfield.","Why, I'll bet you haven't seen your feet in years.",I have feet?
ga790703,CRUNCH,"I think it's time to put you on another diet, Garfield.",Whatever gave him that idea?
ga790705,"Hmmm, diet candy.",Not bad.,A couple more boxes of those things and I'll be skinnier than a rail.
ga790707,I wonder what I'd look like skinny?,,GARFIELD! YOUR DIET! My vanity.
ga790709,Cats are the world's greatest tree climbers.,There's only one tiny problem...,Cats are also the world's worst tree climber downers.
ga790710,"I've made up my mind. The only way out of this tree is to jump. I may break every bone in my body, but here goes.",,There again...
ga790713,"There's only one way out of this tree, Garfield.",We'll have to jump.,"Gee, I'd love to but I simply haven't a thing to wear to our funeral."
ga790714,"Either we jump, or we'll starve up here, Garfield. I'm with you.",GERONIMO!!,
ga790718,"What are you doing with the ice pick, Garfield?",stab stab stab stab stab,The only way to eat peas. Oh.
ga790721,I'm sorry. We don't serve cats here.,,"What will you and your dog have, sir?"
ga790723,"Come on, Garfield. Let's go see your vet.",She sure is cute.,"Why is every time HE gets a hot flash, I have to go to the doctor?"
ga790724,"How about a date, doc? I'd sooner die.",Well don't do *that*.,Nothing like a snappy comeback to save face.
